Year,feat_EC42_over_GDP42,feat_GDP42_over_GDPglobal,feat_Pop42_over_Popglobal
1970,8.514161062064548e-12,0.7290264317180617,0.640014512836007
1971,8.45865751423304e-12,0.7308728813559322,0.6401134870093456
1972,8.441005292459207e-12,0.7307510040160643,0.640015712117925
1973,8.36614781981239e-12,0.7321509433962264,0.6396706848807404
1974,8.11189940356649e-12,0.7312841328413284,0.6391289699679961
1975,7.929722694964462e-12,0.7344852941176471,0.6383528980731721
1976,7.956894006495424e-12,0.7342447552447553,0.6373560996570653
1977,7.84310156534401e-12,0.7374496644295302,0.6370087671033937
1978,7.783149201321051e-12,0.7413451612903226,0.6357782317919021
1979,7.688912943919398e-12,0.7436222910216719,0.6345549264765632
1980,7.334301584668725e-12,0.7513100303951368,0.6354606029391626
1981,7.076436270147335e-12,0.7480029585798816,0.6342913267251982
1982,6.923404826372169e-12,0.7280402298850575,0.6330648771286599
1983,6.8433870507810995e-12,0.7269075630252101,0.6317800446633275
1984,6.865114638966228e-12,0.7418147138964578,0.6304478438780615
1985,6.763160314305719e-12,0.7520797872340426,0.6292003843118765
1986,6.671722554726573e-12,0.7281791044776119,0.6280586348255661
1987,6.6585868698911205e-12,0.7094345794392524,0.6270038705813044
1988,6.632128910238486e-12,0.7010991189427312,0.6260012152308563
1989,6.556245686680469e-12,0.6897118997912317,0.6250595280473513
1990,6.534211889278932e-12,0.6881980198019801,0.6357701175447529
1991,6.5044362521279354e-12,0.6862746615087041,0.6347156273251341
1992,6.441096755232882e-12,0.6959924242424242,0.6353110822753473
1993,6.425170193580366e-12,0.7023592592592592,0.6358784971029179
1994,6.324969431167073e-12,0.7183811252268603,0.634483519145933
1995,6.286942504030091e-12,0.7305168738898756,0.6339277596231314
1996,6.2665252772509415e-12,0.7356219931271477,0.6324312324679373
1997,6.2259208228386876e-12,0.7596466666666667,0.6360118551735808
1998,6.07064158792265e-12,0.758064620355412,0.6344423401099281
1999,5.96776481763621e-12,0.7623244514106583,0.6328875330913188
2000,5.851845432019003e-12,0.7739115853658537,0.6314038390681507
2001,5.747944476268176e-12,0.7591229868228404,0.6299377587921973
2002,5.7382125237405956e-12,0.7493131170662906,0.6283462744713918
2003,5.760795115055597e-12,0.7458586956521739,0.626634966197918
2004,5.7933911393552975e-12,0.752509186351706,0.624906834260404
2005,5.752227191981774e-12,0.7577160963244614,0.6231470692510497
2006,5.619311499212209e-12,0.7703028083028083,0.6229225827500878
2007,5.529021388320059e-12,0.7788009422850413,0.6209049361746334
2008,5.443865578464218e-12,0.7708418657565416,0.6188466026338612
2009,5.380999377072418e-12,0.7434994499449945,0.6168536613508774
2010,5.382637526219636e-12,0.7554760383386582,0.6149385919298954
2011,5.291660681033992e-12,0.7575749486652977,0.612983046709265
2012,5.192473143741169e-12,0.7526316831683169,0.6110164308204423
2013,5.1265624066496586e-12,0.7564298076923077,0.6090509834419565
2014,4.9964231504988566e-12,0.7545953703703704,0.6070207083228045
2015,4.846648101481275e-12,0.7621873873873873,0.6049581903621138
2016,4.738461890488067e-12,0.766719298245614,0.602872414140206
2017,4.6392257573072346e-12,0.7831456896551724,0.6007808869258078
2018,4.580947533613267e-12,0.7925042016806723,0.5986158969390536
2019,4.480771407695553e-12,0.8030826446280992,0.5962795242350546
